hotel_id,address,hotel_facilities,hotel_star_rating,rating,pageurl,room_count,no_per_room,room_type,similar_hotel,path ref id,cost
1,"KHIRSU, 246147 Pauri, India – Great location -","Bathroom:Toilet paper|Linen|Towels|Bathroom|Toilet•Bedroom:Wardrobe/Closet•View:Mountain view|View•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Seating Area|Desk•Media & Technology:Satellite Channels|TV•Food & Drink:Breakfast in the room•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free public parking is possible on site (reservation is not needed).•Services:Daily maid service|Shuttle service (surcharge)|Wake-up service|Car hire|Room service•General:Designated smoking area|Non-smoking throughout|Tile/Marble floor|Heating|Fan|Non-smoking rooms|Newspapers",1,1,http://www.booking.com/hotel/in/khirsu-by-gmvn.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,18,4,Economy Double Room,Hotel Mandakini,1,5000
2,"Kaathadimattam, Balacola Post, NEAR Siva Tea Factory, Ooty, 643203 Ooty, India – Great location -","Bathroom:Toilet paper|Linen|Towels|Bidet|Towels/Sheets (extra fee)|Bathroom|Toilet|Free toiletries|Shared Bathroom|Hairdryer|Shower•View:Mountain view|View•Outdoors:BBQ facilities|Terrace|Garden•Kitchen:Children's high chair|Kitchenware|Electric kettle•Room Amenities:Drying rack for clothing•Pets:Pets are not allowed.•Activities:Cycling|Bicycle rental|Children's playground|Games room•Food & Drink:Kid meals|Restaurant (buffet)|Restaurant (à la carte)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|Private check-in/check-out|Luggage storage|Ticket service|Tour desk|24-hour front desk•Entertainment and family services:Babysitting/child services•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying|Business centre|Meeting/banquet facilities•General:Airport shuttle (surcharge)|Shuttle service (surcharge)|Non-smoking throughout|Hardwood/Parquet floors|Soundproofing|Car hire|Packed lunches|Soundproof rooms|Bridal suite|VIP room facilities|Barber/beauty shop|Non-smoking rooms|Room service•Languages spoken:",3,2,http://www.booking.com/hotel/in/global-village-ooty.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,10,3,British Empire Chalet,Treebo Yantra Leisures|Western Valley Resorts|Two Seas Residence,2,4500
3,"PIPALKOTI, 246472 Pīpalkoti, India – Show map","Bathroom:Toilet paper|Linen|Towels|Bathroom•View:Mountain view|View•Pets:Pets are not allowed.•Living Area:Desk•Food & Drink:Special diet menus (on request)|Breakfast in the room•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Private check-in/check-out|Luggage storage|Wake-up service|24-hour front desk|Room service•General:Designated smoking area|Non-smoking throughout|Tile/Marble floor|Non-smoking rooms|Newspapers•Languages spoken:",1,3,http://www.booking.com/hotel/in/trh-pipalkoti.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,28,5,Economy Double Room,TRH Joshimath (New),3,5500
4,"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map","Bathroom:Toilet paper|Towels|Bath|Shower•Bedroom:Wardrobe/Closet•View:Lake view|View•Outdoors:Sun terrace|Terrace•Kitchen:Dining table•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Massage|Fishing•Living Area:Dining area|Seating Area•Media & Technology:Cable Channels|TV•Food & Drink:Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|ATM/cash machine on site|Luggage storage•Entertainment and family services:Baby safety gates|Books, DVDs or music for children•Business facilities:Meeting/banquet facilities•General:Grocery deliveries|Mini-market on site|Designated smoking area|Air conditioning|Shops (on site)|Wake-up service|Hardwood/Parquet floors|Heating|Car hire|Gift shop|Fan|Safety Deposit Box|Room service•Languages spoken:",1,4,http://www.booking.com/hotel/in/swasti-house-boat-2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1,2,Deluxe Room,,4,6000
5,"Kavanattinkara, 686563 Kumarakom, India – Show map","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Free toiletries|Bath|Shower•Bedroom:Wardrobe/Closet|Extra Long Beds (> 2 metres)•View:Lake view•Kitchen:Dining table|Kitchen|Refrigerator•Room Amenities:Clothes rack•Pets:Free!
Pets are allowed on request. No extra charges.•Activities:Evening entertainment|Canoeing|Fishing•Living Area:Dining area|Seating Area•Media & Technology:TV•Food & Drink:Restaurant (buffet)•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Private check-in/check-out|Car hire|24-hour front desk|Meeting/banquet facilities•Entertainment and family services:Books, DVDs or music for children•General:Designated smoking area|Air conditioning|Fan|Safety Deposit Box",1,5,http://www.booking.com/hotel/in/amrutham-houseboat-2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,2,4,Mobile Home,Mandala Beach House & Cottages,5,2500
6,"15 A Arani House Ooty, 643002 Ooty, India – Show map","Miscellaneous:Non-smoking rooms•Bathroom:Toilet paper|Linen|Towels|Bathroom|Toilet|Hairdryer•Bedroom:Wardrobe/Closet•Outdoors:Terrace•Kitchen:Electric kettle•Room Amenities:Clothes rack|Tile/Marble floor|Soundproofing|Ironing Facilities•Services & Extras:Wake-up service•Pets:Pets are not allowed.•Media & Technology:Flat-screen TV|Satellite Channels•Food & Drink:Breakfast in the room|Room service•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Cleaning services:Daily maid service|Ironing service|Dry cleaning|Laundry•Languages spoken:",1,6,http://www.booking.com/hotel/in/the-hill-side.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,20,6,Standard Room in Apartment,Two Seas Residence,6,3000
7,"Near White Meadows Resorts Prini, Manali Distt. Kullu (H.P.), 175131 Manāli, India – Show map","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Bath or Shower|Bathroom|Toilet|Free toiletries|Shower•Outdoors:Terrace|Garden•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Dining area|Sofa•Media & Technology:Flat-screen TV•Food & Drink:Special diet menus (on request)|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Luggage storage|Ticket service|Tour desk|Currency exchange|24-hour front desk•Cleaning services:Trouser press|Shoeshine|Dry cleaning|Laundry•Business facilities:Meeting/banquet facilities•General:Airport shuttle (surcharge)|Wake-up service|Heating|Car hire|Packed lunches|Carpeted|Safety deposit box|Fan|Newspapers|Room service•Languages spoken:",2,7,http://www.booking.com/hotel/in/mountain-face.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,28,4,Budget Double Room,Sparsh Resort|Pause at Manali|Hotel Mountain Trail Manali,7,3500
8,"Near Railway Station Near Railway Station, 249401 Haridwār, India – Great location -","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Slippers|Bathroom|Toilet|Shower•Bedroom:Wardrobe/Closet•Outdoors:Garden•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Desk•Media & Technology:Cable Channels|TV•Food & Drink:Special diet menus (on request)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Private check-in/check-out|Luggage storage|24-hour front desk•Cleaning services:Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Shuttle service (surcharge)|Wake-up service|Tile/Marble floor|Car hire|Packed lunches|Fan|Family rooms|Newspapers|Room service",1,8,http://www.booking.com/hotel/in/rahi-motel-haridwar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,32,3,Economy Double Room,Himgiri Residency|Hotel Le Central,8,5000
9,"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map","Bathroom:Toilet paper|Towels|Bath|Shower•Bedroom:Wardrobe/Closet•View:Lake view|View•Kitchen:Dining table|Refrigerator•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Massage|Fishing•Living Area:Dining area|Seating Area•Media & Technology:TV•Food & Drink:Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Shared lounge/TV area•Reception services:Concierge service|ATM/cash machine on site|Luggage storage|Ticket service|Currency exchange•Entertainment and family services:Baby safety gates|Books, DVDs or music for children|Board games/puzzles•Business facilities:Meeting/banquet facilities•General:Grocery deliveries|Mini-market on site|Designated smoking area|Air conditioning|Shops (on site)|Wake-up service|Hardwood/Parquet floors|Car hire|Gift shop|Fan|Facilities for disabled guests|Non-smoking rooms|Room service•Languages spoken:",3,9,http://www.booking.com/hotel/in/swasti-house-boat-4.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,2,5,Deluxe Room,Sreekrishna Houseboat C/o Sreekrishna ayurveda Panchakarma Centre,9,4500
10,"Upper Cart Road, Next to Birla's House, Mangal Dara, 734301 Kalimpong, India – Great location -","Parking:Free!
Free private parking is possible on site (reservation is not needed).•Internet:Free!
WiFi is available in all areas and is free of charge.•Kitchen:Dining table|Cleaning products|Stovetop|Oven|Refrigerator•Bedroom:Wardrobe/Closet•Bathroom:Towels|Free toiletries|Toilet paper|Linen|Shared Toilet|Bathroom|Toilet|Shared Bathroom•Living Area:Dining area|Seating Area•Media & Technology:Satellite Channels|TV•Room Amenities:Private entrance|Interconnected room(s) available•Pets:Pets are not allowed.•Accessibility:Upper floors accessible by stairs only•Outdoors:Balcony|Terrace•Food & Drink:Grocery deliveries|Breakfast in the room•Activities:Hiking|Fishing•Building characteristics:Private flat in building•Transport:Airport shuttle (surcharge)|Shuttle service (surcharge)|Car hire|Bicycle rental•Outdoor & View:City view|Mountain view|View•Entertainment and family services:Baby safety gates•Miscellaneous:Family rooms•Languages spoken:",1,1,http://www.booking.com/hotel/in/the-gaff-in-kalimpong-deluxe.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,20,2,Deluxe Apartment,Shikher Guest House|Yuru Retreat Delo,11,6000
